fund_name,expense_ratio_pct
786 Islamic Money Market Fund,0.82
786 Smart Fund,2.06
ABL Cash Fund,1.15
ABL Financial Planning Fund (Conservative Plan),0.63
ABL Financial Planning Fund (Strategic Allocation Plan),0.58
ABL Financial Sector Fund Plan I,1.39
ABL Fixed Rate Plan XIX,0.41
ABL Fixed Rate Plan XXII,0.20
ABL Fixed Rate Plan XXIII,0.24
ABL Fixed Rate Plan XXIV,0.26
ABL GOKP Islamic Pension Fund,0.22
ABL GOKP Pension Fund,0.22
ABL GOPB Islamic Pension Fund,0.22
ABL GOPB Pension Fund,0.22
ABL Government Securities Fund,1.49
ABL Income Fund,1.69
ABL Islamic Asset Allocation Fund,9.03
ABL Islamic Cash Fund,0.85
ABL Islamic Dedicated Stock Fund,5.27
ABL Islamic Financial Planning Fund (Active Allocation Plan),0.71
ABL Islamic Financial Planning Fund (Capital Preservation Plan I),0.67
ABL Islamic Financial Planning Fund (Conservative Allocation Plan),0.77
ABL Islamic Fixed Term Plan V,0.24
ABL Islamic Income Fund,1.52
ABL Islamic Money Market Plan I,0.78
ABL Islamic Pension Fund,0.03
ABL Islamic Pension Fund,0.01
ABL Islamic Pension Fund,0.02
ABL Islamic Sovereign Plan I,1.01
ABL Islamic Stock Fund,4.42
ABL Money Market Plan I,1.67
ABL Optimal Asset Allocation Fund,2.65
ABL Pension Fund,0.02
ABL Pension Fund,0.03
ABL Pension Fund,0.01
ABL Special Saving Fund (ABL Special Saving Plan I),1.17
ABL Special Saving Fund (ABL Special Saving Plan II),0.30
ABL Special Saving Fund (ABL Special Saving Plan III),1.32
ABL Special Saving Fund (ABL Special Saving Plan IV),0.48
ABL Special Saving Fund (ABL Special Saving Plan V),1.38
ABL Special Saving Fund (ABL Special Saving Plan VI),0.45
ABL Stock Fund,4.23
AKD Aggressive Income Fund,2.39
AKD Cash Fund,0.92
AKD Index Tracker Fund,1.25
AKD Islamic Cash Fund,1.33
AKD Islamic Income Fund,1.66
AKD Islamic Stock Fund,5.07
AKD Opportunity Fund,4.90
AL Habib Asset Allocation Fund,3.48
AL Habib Cash Fund,0.84
AL Habib Fixed Return Fund Plan 19,0.23
AL Habib Fixed Return Fund Plan 22,0.19
AL Habib Fixed Return Fund Plan 23,0.16
AL Habib Fixed Return Fund Plan 24,0.31
AL Habib Fixed Return Fund Plan 28,0.36
AL Habib Fixed Return Fund Plan 29,0.25
AL Habib GOKP Islamic Pension Fund,0.87
AL Habib GOKP Pension Fund,0.80
AL Habib Government Securities Fund,0.89
AL Habib Income Fund,0.87
AL Habib Islamic Cash Fund,0.56
AL Habib Islamic Income Fund,0.70
AL Habib Islamic Money Market Fund,0.12
AL Habib Islamic Pension Fund,4.09
AL Habib Islamic Pension Fund,0.68
AL Habib Islamic Pension Fund,0.80
AL Habib Islamic Savings Fund,0.74
AL Habib Islamic Stock Fund,4.87
AL Habib Money Market Fund,0.86
AL Habib Pension Fund,3.63
AL Habib Pension Fund,0.62
AL Habib Pension Fund,0.56
AL Habib Sovereign Income Fund Plan 1,0.21
AL Habib Sovereign Income Fund Plan 2,0.19
AL Habib Sovereign Income Fund Plan 3,0.18
AL Habib Stock Fund,4.65
AWT Financial Sector Income Fund,2.76
