fund_name,fund_id,amc_name,category,fund_type,risk_profile,nav,offer_price,shariah_flag
ABL Cash Fund,12768,ABL Asset Management Company Limited,Money Market,Open-End Funds,Low,10.97,11.07,false
ABL Financial Planning Fund (Conservative Plan),12775,ABL Asset Management Company Limited,Fund of Funds,Open-End Funds,Medium,119.15,121.92,false
ABL Financial Planning Fund (Strategic Allocation Plan),12783,ABL Asset Management Company Limited,Fund of Funds,Open-End Funds,High,93.61,0.00,false
ABL Financial Sector Fund Plan I,14347,ABL Asset Management Company Limited,Income,Open-End Funds,Medium,10.73,10.98,false
ABL Fixed Rate Plan XIX,14874,ABL Asset Management Company Limited,Fixed Rate / Return,Open-End Funds,Moderate,10.74,0.00,false
ABL Fixed Rate Plan XXII,14982,ABL Asset Management Company Limited,Fixed Rate / Return,Open-End Funds,Low,10.30,0.00,false
ABL Fixed Rate Plan XXIII,14994,ABL Asset Management Company Limited,Fixed Rate / Return,Open-End Funds,Very Low,10.28,0.00,false
ABL Fixed Rate Plan XXIV,15051,ABL Asset Management Company Limited,Fixed Rate / Return,Open-End Funds,Low,10.08,0.00,false
ABL GOKP Islamic Pension Fund,14657,ABL Asset Management Company Limited,VPS-Shariah Compliant Money Market,Employer Pension Funds,NA,121.02,0.00,true
ABL GOKP Pension Fund,14668,ABL Asset Management Company Limited,VPS-Money Market,Employer Pension Funds,NA,128.07,0.00,false
ABL GOPB Islamic Pension Fund,14975,ABL Asset Management Company Limited,VPS-Shariah Compliant Money Market,Employer Pension Funds,Low to High,101.72,0.00,true
ABL GOPB Pension Fund,14974,ABL Asset Management Company Limited,VPS-Money Market,Employer Pension Funds,Low to High,102.73,0.00,false
ABL Government Securities Fund,12767,ABL Asset Management Company Limited,Income,Open-End Funds,Medium,10.86,11.05,false
ABL Income Fund,12765,ABL Asset Management Company Limited,Income,Open-End Funds,Medium,10.90,11.09,false
ABL Islamic Asset Allocation Fund,12786,ABL Asset Management Company Limited,Shariah Compliant Asset Allocation,Open-End Funds,Medium,10.16,10.52,true
ABL Islamic Cash Fund,12793,ABL Asset Management Company Limited,Shariah Compliant Money Market,Open-End Funds,Low,10.03,10.15,true
ABL Islamic Dedicated Stock Fund,12804,ABL Asset Management Company Limited,Shariah Compliant Dedicated Equity,Dedicated Equity Funds,High,16.48,16.48,true
ABL Islamic Financial Planning Fund (Active Allocation Plan),12780,ABL Asset Management Company Limited,Shariah Compliant Fund of Funds,Open-End Funds,High,95.30,97.52,true
ABL Islamic Financial Planning Fund (Capital Preservation Plan I),12788,ABL Asset Management Company Limited,Shariah Compliant Fund of Funds - CPPI,Open-End Funds,Medium,110.06,0.00,true
ABL Islamic Financial Planning Fund (Conservative Allocation Plan),12776,ABL Asset Management Company Limited,Shariah Compliant Fund of Funds,Open-End Funds,Medium,123.30,126.17,true
ABL Islamic Fixed Term Plan V,15061,ABL Asset Management Company Limited,Shariah Compliant Fixed Rate / Return,Open-End Funds,Low,10.04,0.00,true
ABL Islamic Income Fund,12769,ABL Asset Management Company Limited,Shariah Compliant Income,Open-End Funds,Medium,10.93,11.12,true
ABL Islamic Money Market Plan I,14623,ABL Asset Management Company Limited,Shariah Compliant Money Market,Open-End Funds,Low,10.72,10.97,true
ABL Islamic Pension Fund,12802,ABL Asset Management Company Limited,VPS-Shariah Compliant Equity,Voluntary Pension Scheme (VPS),Low to High,544.37,563.32,true
ABL Islamic Pension Fund,12803,ABL Asset Management Company Limited,VPS-Shariah Compliant Money Market,Voluntary Pension Scheme (VPS),Low to High,227.57,235.49,true
ABL Islamic Pension Fund,12801,ABL Asset Management Company Limited,VPS-Shariah Compliant Debt,Voluntary Pension Scheme (VPS),Low to High,224.55,232.37,true
ABL Islamic Sovereign Plan I,14692,ABL Asset Management Company Limited,Shariah Compliant Income,Open-End Funds,Medium,10.67,11.04,true
ABL Islamic Stock Fund,12772,ABL Asset Management Company Limited,Shariah Compliant Equity,Open-End Funds,High,30.13,30.83,true
ABL Money Market Plan I,14613,ABL Asset Management Company Limited,Money Market,Open-End Funds,Low,10.69,10.93,false
