fund_id,fund_name,scraped_at,return_ytd,return_mtd,return_1m,return_3m,return_6m,return_9m,return_1y,return_2y,return_3y
12768,ABL Cash Fund,2026-03-12T20:41:07+00:00,0.1002,0.0901,0.0914,0.096,0.0993,0.1017,0.1059,0.1529,0.1994
12775,ABL Financial Planning Fund (Conservative Plan),2026-03-12T20:41:09+00:00,0.0841,-0.0053,-0.0094,0.0132,0.044,0.0975,0.1344,0.4402,0.8326
12783,ABL Financial Planning Fund (Strategic Allocation Plan),2026-03-12T20:41:11+00:00,0.1927,-0.0615,-0.1198,-0.0587,0.0193,0.2232,0.2642,1.1077,2.0176
14347,ABL Financial Sector Fund Plan I,2026-03-12T20:41:12+00:00,0.103,0.0895,0.0917,0.0999,0.1024,0.1028,0.1063,0.1533,0.0
14874,ABL Fixed Rate Plan XIX,2026-03-12T20:41:13+00:00,0.1065,0.0948,0.0947,0.1093,0.1068,0.0,0.0,0.0,0.0
14982,ABL Fixed Rate Plan XXII,2026-03-12T20:41:14+00:00,0.1114,0.0963,0.0926,0.1107,0.0,0.0,0.0,0.0,0.0
14994,ABL Fixed Rate Plan XXIII,2026-03-12T20:41:15+00:00,0.1103,0.0956,0.092,0.1099,0.0,0.0,0.0,0.0,0.0
15051,ABL Fixed Rate Plan XXIV,2026-03-12T20:41:16+00:00,0.095,0.0954,0.095,0.0,0.0,0.0,0.0,0.0,0.0
14657,ABL GOKP Islamic Pension Fund,2026-03-12T20:41:18+00:00,0.1115,0.0418,0.0573,0.0791,0.0876,0.0944,0.0948,0.0,0.0
14668,ABL GOKP Pension Fund,2026-03-12T20:41:19+00:00,0.1489,0.0967,0.0942,0.1009,0.1066,0.1097,0.1136,0.0,0.0
14975,ABL GOPB Islamic Pension Fund,2026-03-12T20:41:20+00:00,0.0591,0.0568,0.055,0.0574,0.0,0.0,0.0,0.0,0.0
14974,ABL GOPB Pension Fund,2026-03-12T20:41:21+00:00,0.0939,0.0855,0.0829,0.0914,0.0,0.0,0.0,0.0,0.0
12767,ABL Government Securities Fund,2026-03-12T20:41:23+00:00,0.0977,0.039,0.0648,0.0871,0.0949,0.0983,0.1081,0.1629,0.2117
12765,ABL Income Fund,2026-03-12T20:41:24+00:00,0.0989,0.0472,0.069,0.1027,0.0962,0.1001,0.1109,0.164,0.1923
12786,ABL Islamic Asset Allocation Fund,2026-03-12T20:41:26+00:00,0.0205,-0.0011,-0.0012,0.0033,0.0197,0.0213,0.0218,0.1445,0.3896
12793,ABL Islamic Cash Fund,2026-03-12T20:41:27+00:00,0.1,0.0721,0.0835,0.093,0.0981,0.1025,0.1034,0.1478,0.1911
12804,ABL Islamic Dedicated Stock Fund,2026-03-12T20:41:29+00:00,0.1417,-0.06,-0.1395,-0.1039,-0.043,0.1775,0.2062,0.9885,1.8997
12780,ABL Islamic Financial Planning Fund (Active Allocation Plan),2026-03-12T20:41:30+00:00,0.127,-0.044,-0.1125,-0.0775,-0.0285,0.1559,0.1817,0.7673,1.4342
